Zip,District,,
19116,Northeast Philly,,
19154,Northeast Philly,,
19115,Northeast Philly,,
19114,Northeast Philly,,
19152,Northeast Philly,,
19136,Northeast Philly,,
19111,Northeast Philly,,
19149,Northeast Philly,,
19135,Northeast Philly,,
19137,Kensington,,
19124,Kensington,,
19134,Kensington,,
19125,Kensington,,
19121,North Philly,,
19122,North Philly,,
19120,North Philly,,
19126,North Philly,,
19138,North Philly,,
19141,North Philly,,
19140,North Philly,,
19132,North Philly,,
19133,North Philly,,
19128,Northwest Philly,,
19118,Northwest Philly,,
19150,Northwest Philly,,
19119,Northwest Philly,,
19129,Northwest Philly,,
19127,Northwest Philly,,
19144,Northwest Philly,,
19130,Center City,,
19108,Center City,,
19123,Center City,,
19103,Center City,,
19102,Center City,,
19107,Center City,,
19110,Center City,,
19109,Center City,,
19106,Center City,,
19131,West Philly,,
19151,West Philly,,
19139,West Philly,,
19104,West Philly,,
19145,South Philly,,
19148,South Philly,,
19146,South Philly,,
19147,South Philly,,
19143,Southwest Philly,,
19142,Southwest Philly,,
19153,Southwest Philly,,
,,,
,,,
,,,
,,,
